Maximum score: -6270 in episode: 0 	 Maximum length: 93 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -1450 in episode: 0 	 Maximum length: 23 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -2890 in episode: 0 	 Maximum length: 39 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -4750 in episode: 0 	 Maximum length: 63 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -2830 in episode: 0 	 Maximum length: 42 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -6300 in episode: 0 	 Maximum length: 81 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -3470 in episode: 0 	 Maximum length: 45 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -2450 in episode: 0 	 Maximum length: 35 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -2910 in episode: 0 	 Maximum length: 39 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -9790 in episode: 0 	 Maximum length: 129 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -4430 in episode: 0 	 Maximum length: 60 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -3590 in episode: 0 	 Maximum length: 48 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -8540 in episode: 0 	 Maximum length: 129 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -1850 in episode: 0 	 Maximum length: 25 in episode: 0 	 Snapshot stored in snapshot0.pth
Maximum score: -2200 in episode: 0 	 Maximum length: 25 in episode: 0 	 Snapshot stored in snapshot0.pth
