episode: 0/90000, score: -570, e: 1.0
episode: 1/90000, score: -360, e: 1.0
episode: 2/90000, score: -140, e: 1.0
episode: 3/90000, score: -210, e: 1.0
episode: 4/90000, score: -280, e: 1.0
episode: 5/90000, score: -230, e: 1.0
episode: 6/90000, score: -320, e: 1.0
episode: 7/90000, score: -530, e: 1.0
episode: 8/90000, score: -300, e: 1.0
episode: 9/90000, score: -240, e: 1.0
episode: 10/90000, score: -170, e: 1.0
episode: 11/90000, score: -120, e: 1.0
episode: 12/90000, score: -220, e: 1.0
episode: 13/90000, score: -310, e: 1.0
episode: 14/90000, score: -670, e: 1.0
episode: 15/90000, score: -220, e: 1.0
episode: 16/90000, score: -120, e: 1.0
episode: 17/90000, score: -180, e: 1.0
episode: 18/90000, score: -330, e: 1.0
episode: 19/90000, score: -270, e: 1.0
episode: 20/90000, score: -400, e: 1.0
episode: 21/90000, score: -190, e: 1.0
episode: 22/90000, score: -330, e: 1.0
episode: 23/90000, score: -200, e: 1.0
episode: 24/90000, score: -320, e: 1.0
episode: 25/90000, score: -300, e: 1.0
episode: 26/90000, score: -310, e: 1.0
episode: 27/90000, score: -500, e: 1.0
episode: 28/90000, score: -110, e: 1.0
episode: 29/90000, score: -360, e: 1.0
episode: 30/90000, score: -230, e: 0.99
episode: 31/90000, score: -420, e: 0.99
episode: 32/90000, score: -280, e: 0.99
episode: 33/90000, score: -150, e: 0.99
episode: 34/90000, score: -730, e: 0.99
episode: 35/90000, score: -680, e: 0.99
episode: 36/90000, score: -180, e: 0.99
